Id,Date,Position,Age,Tenure,Adaptability,No_pressure,Awareness,Likelihood,Influence,Importance,DefinedGoals,ReachGoal,Rewards,ParticiptionGoals,Improvement,HarmonyGoals,CustomerValue,PolicyLeads,CustomerRetension,CustomerExperience,ExcellentReward,Satisfaction,Competency,TeamWork,TechnicalSkills,clearRoles,Collaboration,Crossfunctional,RespectUniqueness,PriorityObjectives,ProctedPolicies,FactDrivenDecisions,AvailableInfo,CoreValue,CommunicationDepartment,CommunicationEmployee,CommunicationManagers,Encourage,FreedomExpress,DepartmentValues
41,2022-10-31 07:31:50,Site Manager,46 to 55,15 to 23,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree
42,2022-10-31 07:19:32,Site Manager,56 to 80,11 to 15,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral
43,2022-10-31 07:13:53,Department Manager,46 to 55,15 to 23,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
53,2022-10-31 08:02:07,Head Section,25 to 35,11 to 15,Disagree,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral
51,2022-10-31 07:57:22,Department Deputy Manager,25 to 35,11 to 15,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
52,2022-10-31 07:59:16,Department Manager,36 to 45,15 to 23,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree
55,2022-10-31 08:40:53,Department Manager,36 to 45,15 to 23,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
56,2022-10-31 08:19:16,Site Manager,56 to 80,6 to 10,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
57,2022-10-31 08:17:14,Department Manager,36 to 45,11 to 15,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree
58,2022-10-31 08:31:06,Head Section,25 to 35,11 to 15,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
